Category,Clip Name,Clip Url,Edited,Filename,Theme,Portrait Version,Original Time in Seconds,Edited Time in Seconds,Extra Clip 1,Extra Clip 2,Updated Captions,Created By,Created Date
Rise of the Tomb Raider,"This isn't where I parked my Tomb | Paging asdfwendyfdsa, clingell, and Wunlu to the stream immediately. Thank you -ROSE",https://clips.twitch.tv/PeppySmilingHerbsAMPEnergyCherry-3jJAFhfcOaRAF3Ue,,,,,28,,,,,design_by_rose,"Mar 20, 2022"
Rise of the Tomb Raider,"suuuuuuuuuuuuuure. yeah, sure rose... sure",https://clips.twitch.tv/TemperedEncouragingPoultrySuperVinlin-jmqGMK7Qv97xdp97,,,,,6,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,Why am I allowed on the internet?,https://clips.twitch.tv/SmallAttractiveCheddarHotPokket-PS_jAcDtmevfvbvq,,,,,31,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,aehh!,https://clips.twitch.tv/StupidPrettyBeefDancingBanana-ETgN4GIbRvJ7V5qN,,,,,4,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,missing all my shots at point blank range,https://clips.twitch.tv/RoundDifferentEndiveDxAbomb-ppIqabGT4tjKylXt,,,,,15,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,"If it looks like a tomb, walks like a tomb, and quacks like a tomb | Rise of the Tomb Raider",https://clips.twitch.tv/ClumsyHomelyButterOSsloth-QbtF9HMKZQQJt9fS,,,,,30,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,"If it looks like a tomb, walks like a tomb, and quacks like a tomb | Rise of the Tomb Raider",https://clips.twitch.tv/ProudOptimisticNeanderthalNomNom-zFaBuMepL1MTkEde,,,,,30,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,"If it looks like a tomb, walks like a tomb, and quacks like a tomb | Rise of the Tomb Raider",https://clips.twitch.tv/GlutenFreeAssiduousEelPogChamp-2jQJcadaJiVG-GY2,,,,,30,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,If only I was a ___,https://clips.twitch.tv/SneakyPlausibleAmazonTBTacoRight-QkR34tbhrsScQdot,,,,,9,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,y?,https://clips.twitch.tv/AmorphousFrigidHerringRedCoat-25YIG36RggiwwGHL,,,,,4,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,"If it looks like a tomb, walks like a tomb, and quacks like a tomb | Rise of the Tomb Raider",https://clips.twitch.tv/AgreeableOptimisticAxeKreygasm-H2UW1H528hfEOmcY,,,,,30,,,,,design_by_rose,"Mar 23, 2022"
Rise of the Tomb Raider,um... what o_0,https://clips.twitch.tv/CarefulBumblingCormorantDancingBaby-hj_5j3XHEbVFlSmG,,,,,5,,,,,design_by_rose,"Mar 24, 2022"
Rise of the Tomb Raider,Taint raider on a booze free Saturday | Rise of the Tomb Raider,https://clips.twitch.tv/MagnificentRacyMouseTebowing-1eI-Glm49Odnl87s,,,,,28,,,,,design_by_rose,"Mar 27, 2022"
Rise of the Tomb Raider,... I promise that I hope there will be. ♥,https://clips.twitch.tv/PhilanthropicCautiousMangetoutKeepo-3RIZPOFFHgeKgnHv,,,,,5,,,,,design_by_rose,"Mar 27, 2022"
Shadow of the Tomb Raider,More tombs than Dr. Jones could crack a whip at | Shadow of the Tomb Raider,https://clips.twitch.tv/BetterLachrymoseChickpeaMrDestructoid-_bPEO7qokM8ZsUMR,,,,,30,,,,,design_by_rose,"Mar 28, 2022"
Shadow of the Tomb Raider,I'm sorry ~Rose,https://clips.twitch.tv/CheerfulArtisticGrousePMSTwin-f1waAzjrkWd8hHzL,,,,,9,,,,,design_by_rose,"Mar 28, 2022"
Shadow of the Tomb Raider,uh... idk,https://clips.twitch.tv/FancySarcasticLorisSMOrc-XcjNQcxXx84r5XE0,,,,,7,,,,,design_by_rose,"Mar 28, 2022"
Shadow of the Tomb Raider,More tombs than Dr. Jones could crack a whip at | Shadow of the Tomb Raider,https://clips.twitch.tv/SnappyPleasantLasagnaThisIsSparta-w_mnns9EtmSNZf17,,,,,30,,,,,design_by_rose,"Mar 28, 2022"
Shadow of the Tomb Raider,More tombs than Dr. Jones could crack a whip at | Shadow of the Tomb Raider,https://clips.twitch.tv/GoldenElegantGnatAliens-jibLstn55vWgJCQj,,,,,30,,,,,design_by_rose,"Mar 28, 2022"
Shadow of the Tomb Raider,More tombs than Dr. Jones could crack a whip at | Shadow of the Tomb Raider,https://clips.twitch.tv/FunnyNimbleShingleResidentSleeper-r4zIYR1Z84VUukbB,,,,,30,,,,,design_by_rose,"Mar 28, 2022"
Shadow of the Tomb Raider,!f,https://clips.twitch.tv/TacitOptimisticCucumberKappaPride-dnKLk5o-iLlxz28Z,,,,,7,,,,,design_by_rose,"Mar 31, 2022"
Shadow of the Tomb Raider,Not not licking toads | Shadow of the Tomb Raider,https://clips.twitch.tv/SarcasticDignifiedHornetDoritosChip-EF3tRVfOcR9idx3V,,,,,27,,,,,design_by_rose,"Mar 31, 2022"
Shadow of the Tomb Raider,"♫ Just keep digging, just keep digging ♫",https://clips.twitch.tv/BusyGlutenFreeWaterUnSane-zM4Tl9q2k1_PdPGs,,,,,19,,,,,design_by_rose,"Mar 31, 2022"
Thronebreaker: The Witcher Tales,MOAR WATA,https://clips.twitch.tv/HilariousAssiduousAlmondPRChase-_gE50SP8uz90EOY8,,,,,21,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,0 proof,https://clips.twitch.tv/TransparentTriumphantFlyRuleFive-C7CuIQf6Nc_wH-Y9,,,,,5,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,I can gum them!,https://clips.twitch.tv/TenderBumblingTapirTwitchRPG-GhzOpGUDXJMHXOPz,,,,,6,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,What... happened here?,https://clips.twitch.tv/CredulousStrangeShrewPeteZaroll-1EGCRlKVjz9Dlx3x,,,,,5,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,can you say ____?,https://clips.twitch.tv/PhilanthropicIronicMartenThisIsSparta-EFTBfRdLOS3NUxM9,,,,,5,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,idk anymore,https://clips.twitch.tv/AgreeableKindPieOpieOP-BX0Apx_HkXGygSSa,,,,,9,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/BenevolentAlluringAubergineStinkyCheese-cdpYeS-rdeFV8fQx,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/HumbleDirtyChoughRuleFive-unDNFA3CvuL6EMAz,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/SarcasticRichHedgehogCopyThis-KRKYHeTlja5GIGZt,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/StupidOddMeerkatPrimeMe-j2V22iep7jfgteij,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/FrozenStrongPotatoCoolStoryBro-UglVKquF0D8xacic,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/CaringShakingHerdCclamChamp-WfWsaF8EzZ_bvZTV,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/AgreeableZealousWeaselWutFace-V8kdpRy54g7PuGWJ,,,,,30,,,,,design_by_rose,"Apr 1, 2022"
Thronebreaker: The Witcher Tales,don't care what's in it,https://clips.twitch.tv/AthleticCrepuscularThymeCharlieBitMe-ZFwQ0Irro5BwrNTZ,,,,,5,,,,,design_by_rose,"Apr 2, 2022"
Thronebreaker: The Witcher Tales,my infinity TE,https://clips.twitch.tv/AlertFantasticJayFutureMan-yYESkxMlKVE3uGih,,,,,5,,,,,design_by_rose,"Apr 2, 2022"
Thronebreaker: The Witcher Tales,"uh, yeah. um.",https://clips.twitch.tv/BlightedSlipperyAlpacaSwiftRage-rBMvzRGijR1MkFQx,,,,,7,,,,,design_by_rose,"Apr 2, 2022"
Thronebreaker: The Witcher Tales,"One man, his taint, and a whole bunch of Gwent | Thronebreaker",https://clips.twitch.tv/PlausiblePhilanthropicNikudonM4xHeh-ASDrvnj32M22WRs3,,,,,30,,,,,design_by_rose,"Apr 2, 2022"
Shadow of the Tomb Raider,A particular set of skills for Tomb Raiding !kings | Shadow of the Tomb Raider,https://clips.twitch.tv/BigAliveSwordPicoMause-pktLO2X7bHTRplkl,,,,,28,,,,,design_by_rose,"Apr 3, 2022"
Shadow of the Tomb Raider,time to get sassy on twitter about it,https://clips.twitch.tv/CoyExuberantIcecreamHeyGirl-0SiE3Q9lyROKVaXi,,,,,6,,,,,design_by_rose,"Apr 5, 2022"
Shadow of the Tomb Raider,Crawling towards 100% to delay having to play Resident Evil | Shadow of the Tomb Raider,https://clips.twitch.tv/CooperativeOnerousGorillaLeeroyJenkins-EltgRbnoP4iw2pn2,,,,,28,,,,,design_by_rose,"Apr 5, 2022"
Resident Evil 2,suuuuuuuuuure. blame chat.,https://clips.twitch.tv/BoldComfortableChowderWow-XbVm39FwjUdiI56E,,,,,5,,,,,design_by_rose,"Apr 9, 2022"
Resident Evil 2,he's always talking about 🍆,https://clips.twitch.tv/NeighborlyImpossibleSkunkPlanking-xv8gMBC_ukaAUSRP,,,,,12,,,,,design_by_rose,"Apr 9, 2022"
Resident Evil 2,what its like to watch one of Starless' streams,https://clips.twitch.tv/ThankfulSwissCobblerDendiFace-bQlP5OI6QbgKWsAi,,,,,7,,,,,design_by_rose,"Apr 9, 2022"
Resident Evil 2,"This isn't going to spook me at all, will it? | !kings | Resident Evil 2",https://clips.twitch.tv/CorrectBlitheDragonfruitRalpherZ-3AWsIKzokzTcOHsP,,,,,28,,,,,design_by_rose,"Apr 9, 2022"
Resident Evil 2,"This isn't going to spook me at all, will it? | !kings | Resident Evil 2",https://clips.twitch.tv/ColdMistyHippoPanicVis-Y0Pkm5z8ILlDxNJH,,,,,28,,,,,design_by_rose,"Apr 9, 2022"
Resident Evil 2,Stairs.,https://clips.twitch.tv/RefinedSpikySashimiSaltBae-wKw_MXaNF53DUi05,,,,,15,,,,,low_hanging_vegetable,"Apr 10, 2022"
Resident Evil 2,gas for me @ss.. butt,https://clips.twitch.tv/FurtiveBoldDolphinPanicVis-U7vr_FIhzCDJpFbY,,,,,10,,,,,asdfWENDYfdsa,"Apr 10, 2022"
Resident Evil 2,*sigh of relief*,https://clips.twitch.tv/AnimatedSweetScallionKeepo-leGJdF1E-KRPhUwf,,,,,8,,,,,design_by_rose,"Apr 10, 2022"
Resident Evil 2,? ? ?,https://clips.twitch.tv/ProudFamousClintmullinsAMPTropPunch-wfYFyYfwq1-dLzj0,,,,,5,,,,,design_by_rose,"Apr 10, 2022"
Resident Evil 2,"how many more clips can I title with ""? ? ?"" ",https://clips.twitch.tv/SucculentTiredSlothRickroll-EFu8sDW_63U_W8Xa,,,,,5,,,,,design_by_rose,"Apr 11, 2022"
Mass Effect: Andromeda,-there ✅ -present✅ -has a pulse✅ -is willing✅,https://clips.twitch.tv/SpineyBovineTrianglePeanutButterJellyTime-tXomDWch1gYv3NvX,,,,,12,,,,,design_by_rose,"Apr 13, 2022"
Mass Effect: Andromeda,"""One ____ please!"" ""...no.""",https://clips.twitch.tv/HeartlessSmellyDotterelPoooound-7ETdkZT0r5xY5pQ2,,,,,5,,,,,design_by_rose,"Apr 13, 2022"
Mass Effect: Andromeda,Questionable clip #42069,https://clips.twitch.tv/ShakingRelentlessHornetDogFace-tqipNx7IWAaq4m8O,,,,,6,,,,,design_by_rose,"Apr 13, 2022"
Mass Effect: Andromeda,thrilled to be ✨ disappointed✨,https://clips.twitch.tv/ResoluteSpicyAnteaterDogFace-xhFlZhW6s_WmpE9m,,,,,9,,,,,design_by_rose,"Apr 13, 2022"
Mass Effect: Andromeda,when Starless thinks nobody is listening ,https://clips.twitch.tv/BetterCovertBeanGOWSkull-TBoF8g7qR9He-kfS,,,,,5,,,,,design_by_rose,"Apr 16, 2022"
Thronebreaker: The Witcher Tales,"I'm here to break thrones, and play Gwent, and I am all out of thrones| Thronebreaker",https://clips.twitch.tv/BovineDifferentPterodactylBrokeBack-lEz5Z7NiRgdfRXVz,,,,,28,,,,,design_by_rose,"Apr 16, 2022"
Thronebreaker: The Witcher Tales,Operation: Blackmail  #420857,https://clips.twitch.tv/SmoothModernPieTheThing-atI5Vszm1Tq2fJaE,,,,,10,,,,,design_by_rose,"Apr 16, 2022"
Thronebreaker: The Witcher Tales,"I'm here to break thrones, and play Gwent, and I am all out of thrones| Thronebreaker",https://clips.twitch.tv/GoldenWrongWrenCharlieBitMe-ICaMKoBn4ptG7_Sd,,,,,28,,,,,design_by_rose,"Apr 16, 2022"
Mass Effect: Andromeda,Zooming around looking to murder | !Kings | Mass Effect: Andromeda,https://clips.twitch.tv/ReliableInterestingNeanderthalThunBeast-as9XFq2BVMizfmU0,,,,,28,,,,,design_by_rose,"Apr 16, 2022"
Mass Effect: Andromeda,"Shut up, ohmygaaaaaaaaaaaaahh",https://clips.twitch.tv/InspiringHungryCheddarKappa-XxoJpaHawpbov3rG,,,,,5,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,oh,https://clips.twitch.tv/DrabIcyCocoaSquadGoals-vdMkYjpcKlVrzYwP,,,,,8,,,,,low_hanging_vegetable,"Apr 17, 2022"
Mass Effect: Andromeda,b-b-b-b-b-booty,https://clips.twitch.tv/FitTacitGorillaGivePLZ-14_Bnsp1gfEbnDbZ,,,,,4,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,? ? ? ? ?... terrible,https://clips.twitch.tv/PlainHungrySaladKippa-6vdNZFR_E9Z1Aw4B,,,,,11,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,Starless' impression of Rose seeing Yen for the first time...,https://clips.twitch.tv/IncredulousWiseBibimbapPicoMause-faYChr9qSrVbOEbB,,,,,7,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,lots and lotsa...,https://clips.twitch.tv/OptimisticJollyGarbageKappaPride-MWsyuErkvF80Qc9I,,,,,4,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,"Okay, um... NYOOM",https://clips.twitch.tv/CrepuscularJoyousDillRedCoat-jx9spBSCg4HWkMca,,,,,5,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,Intergalactic conquistadors | Mass Effect: Andromeda,https://clips.twitch.tv/RoundFlaccidCiderDBstyle-vsmFf3pktFSqTMJE,,,,,30,,,,,hobb0goblin,"Apr 17, 2022"
Mass Effect: Andromeda,"Is Starless wrong, though?",https://clips.twitch.tv/SlipperyDignifiedCheesePicoMause-JmwaYm7jvmECas9b,,,,,19,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,Zooming around looking to murder | !Kings | Mass Effect: Andromeda,https://clips.twitch.tv/ExcitedAntediluvianAsteriskDansGame-sOww-ARcPK9kpAtM,,,,,28,,,,,low_hanging_vegetable,"Apr 17, 2022"
Mass Effect: Andromeda,um,https://clips.twitch.tv/PoorPiliableUdonResidentSleeper-OE0AXyzbTXYWC4r-,,,,,11,,,,,low_hanging_vegetable,"Apr 17, 2022"
Mass Effect: Andromeda,Zooming around looking to murder | !Kings | Mass Effect: Andromeda,https://clips.twitch.tv/LivelyVivaciousTireGivePLZ-QjJgBBApeliHjHcr,,,,,30,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,Zooming around looking to murder | !Kings | Mass Effect: Andromeda,https://clips.twitch.tv/ThoughtfulSnappyWerewolfAliens-p6p6ZnTucTcBxfof,,,,,30,,,,,design_by_rose,"Apr 17, 2022"
Mass Effect: Andromeda,"The Milky Way galaxy crew isn't here to take part, they are here to take over | Mass Effect: Andromeda",https://clips.twitch.tv/ShyCrispyCockroachRedCoat-yvpBEOaG_ygvA7Oj,,,,,30,,,,,design_by_rose,"Apr 19, 2022"
Thronebreaker: The Witcher Tales,What an honour!,https://clips.twitch.tv/MoldyAbstemiousHedgehogPupper-ENzsW6icUJ0mgU5m,,,,,5,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,BTE YES INDEED,https://clips.twitch.tv/ObeseBeautifulWheelShadyLulu-pKyvkMXGh2pH5M97,,,,,5,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,"""... yeah... good. good. good. good.""",https://clips.twitch.tv/EncouragingResilientSoymilkRalpherZ-BiEzoLuBixHSVHIA,,,,,7,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,TILF; noun,https://clips.twitch.tv/SlickRenownedPeppermintTwitchRaid-Ik9onE0j3yOuIFXn,,,,,5,,,,,design_by_rose,"Apr 22, 2022"
Mass Effect: Andromeda,If only...,https://clips.twitch.tv/AntsyTangibleWalrusFloof-RsFEc1MhO_i3FoEU,,,,,5,,,,,design_by_rose,"Apr 22, 2022"
Mass Effect: Andromeda,that'll do,https://clips.twitch.tv/WanderingDrabBeanDxAbomb-c3ay5wPRdEHP4aVI,,,,,5,,,,,design_by_rose,"Apr 22, 2022"
Mass Effect: Andromeda,time to get sassy about it ,https://clips.twitch.tv/LaconicCleverBaguetteSoonerLater-p-Ti6U8P7B7NeOcK,,,,,18,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,Nilfgaard: A Pack of NILFs | Thronebreaker,https://clips.twitch.tv/ReliableTsundereStapleAliens-kP1G1jwJcXAEVCLU,,,,,28,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,Nilfgaard: A Pack of NILFs | Thronebreaker,https://clips.twitch.tv/ResourcefulObliviousArtichokeLitFam-kS1MoRVkpxDlqr_n,,,,,28,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,Nilfgaard: A Pack of NILFs | Thronebreaker,https://clips.twitch.tv/ColdbloodedEndearingQueleaRlyTho-qCQuVC8WMtAlvGnj,,,,,30,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,Nilfgaard: A Pack of arse-lickin NILFs | Thronebreaker,https://clips.twitch.tv/OriginalFineParrotBudStar-wg-ubeYpjJ0UZFfK,,,,,30,,,,,design_by_rose,"Apr 22, 2022"
Thronebreaker: The Witcher Tales,Nilfgaard: A Pack of NILFs | Thronebreaker,https://clips.twitch.tv/InquisitiveProductiveDragonfruitNotATK-C6xYz00Rn-uTjpZX,,,,,30,,,,,design_by_rose,"Apr 22, 2022"
Mass Effect: Andromeda,19dickety2,https://clips.twitch.tv/RealGracefulOryxPicoMause-rwvHHwAwDJdbOizO,,,,,4,,,,,design_by_rose,"Apr 23, 2022"
Mass Effect: Andromeda,icy,https://clips.twitch.tv/SwissLongMeerkatStoneLightning-1g1y6vi0zvTi8WdX,,,,,7,,,,,low_hanging_vegetable,"Apr 24, 2022"
Mass Effect: Andromeda,infested,https://clips.twitch.tv/SoftFastTireBuddhaBar-Yr-TdNm9SVSKhCYn,,,,,5,,,,,low_hanging_vegetable,"Apr 24, 2022"
Mass Effect: Andromeda,"In space, no one can hear you scream at your ISP (time to go get sassy about it on Twitter) | Insanity | Mass Effect: Andromeda",https://clips.twitch.tv/ScaryEsteemedWolverinePJSalt-YttoMiy3a9518-X-,,,,,30,,,,,design_by_rose,"Apr 28, 2022"
Mass Effect: Andromeda,"In space, no one can hear you scream at your ISP (time to go get sassy about it on Twitter) | Insanity | Mass Effect: Andromeda",https://clips.twitch.tv/DrabGracefulGrouseFeelsBadMan-19F9kcAACQDCyEy1,,,,,30,,,,,design_by_rose,"Apr 28, 2022"
Mass Effect: Andromeda,"In space, no one can hear you scream at your ISP (time to go get sassy about it on Twitter) | Insanity | Mass Effect: Andromeda",https://clips.twitch.tv/SneakyBillowingDeerDoubleRainbow-pmh3q1uKZAgoPsJ4,,,,,30,,,,,design_by_rose,"Apr 28, 2022"
Mass Effect: Andromeda,NooOOo,https://clips.twitch.tv/HealthyDarlingHorseUnSane-Q6EwDsG2nCw7pWIw,,,,,4,,,,,hobb0goblin,"Apr 30, 2022"
Overwatch 2,I don’t know what’s going on with any of it,https://clips.twitch.tv/CheerfulCredulousMuleCorgiDerp-JvxoaKiJcIwZMW2O,,,,,9,,,,,design_by_rose,"May 1, 2022"
Overwatch 2,wow,https://clips.twitch.tv/AttractiveMagnificentBaguetteOneHand-5XzNQTe6mb5Z1MJF,,,,,8,,,,,low_hanging_vegetable,"May 1, 2022"
Mass Effect: Andromeda,jesus,https://clips.twitch.tv/AssiduousSnappyGrouseNerfRedBlaster--mGzVJJDtU0P7MWx,,,,,11,,,,,low_hanging_vegetable,"May 8, 2022"
Mass Effect: Andromeda,the great chug,https://clips.twitch.tv/SavoryRenownedJalapenoDatSheffy-8vABq8SWoLoaOyY0,,,,,60,,,,,low_hanging_vegetable,"May 8, 2022"
Mass Effect: Andromeda,Do you think they would mind if I kill a few Krogan? | !Kings | Insanity | Mass Effect: Andromeda,https://clips.twitch.tv/PeacefulNaiveCookieHassanChop-z17h7EdSwWgN_Omq,,,,,30,,,,,low_hanging_vegetable,"May 8, 2022"
Mass Effect: Andromeda,not sponsored btw,https://clips.twitch.tv/BadSuperGuanacoMrDestructoid-K1qNCa-5PQwrUS3o,,,,,5,,,,,design_by_rose,"May 8, 2022"
Mass Effect: Andromeda,*shifty eyes*,https://clips.twitch.tv/ColorfulInquisitiveFriesStinkyCheese-oiTwhudoLrD-wlJs,,,,,5,,,,,design_by_rose,"May 8, 2022"
Mass Effect: Andromeda,"""OR... make like a tree and get tf out of here""",https://clips.twitch.tv/ReliableSpotlessArtichokeKAPOW-2rnoTuj2DJEj_iOl,,,,,20,,,,,design_by_rose,"May 8, 2022"
Mass Effect: Andromeda,Do you think they would mind if I kill a few Krogan? | !Kings | Insanity | Mass Effect: Andromeda,https://clips.twitch.tv/OptimisticAnimatedArtichokeDatBoi-VRaS8VmIo1pwnhNo,,,,,30,,,,,low_hanging_vegetable,"May 8, 2022"
Mass Effect: Andromeda,Disappointing lack of Krogan murder | Insanity | Mass Effect: Andromeda,https://clips.twitch.tv/SincerePoorRedpandaBIRB-j2XKPkJeWf9KHr2v,,,,,28,,,,,design_by_rose,"May 8, 2022"
Mass Effect: Andromeda,He will destroy his a*s apparently,https://clips.twitch.tv/BoxyAmusedSpaghettiRedCoat-UGdsibLAE3u5grdS,,,,,4,,,,,Necrohag,"May 11, 2022"
Disco Elysium,gd rose is here,https://clips.twitch.tv/EvilHelplessWafflePlanking-R6Zoe8SRO3L7y6SU,,,,,5,,,,,design_by_rose,"May 12, 2022"
Disco Elysium,"okay Starless, go off",https://clips.twitch.tv/AgreeableReliableRavenPermaSmug--eOHEoBK3CpAYczL,,,,,7,,,,,design_by_rose,"May 12, 2022"
Disco Elysium,Starless: name-drops Panic! at the disco in his title. Also Starless: Has never even heard 1 song.,https://clips.twitch.tv/OnerousManlyWallabyBleedPurple-AfN2pk0DGkOdV0uu,,,,,10,,,,,design_by_rose,"May 12, 2022"
Disco Elysium,No panic at this disco | Disco Elysium,https://clips.twitch.tv/ExuberantBrightPresidentNerfRedBlaster-05EVwX0Jz64DlZ-e,,,,,30,,,,,design_by_rose,"May 12, 2022"
Disco Elysium,No panic at this disco | Disco Elysium,https://clips.twitch.tv/HardJoyousPeanutTheTarFu-6DwgA-hTZRGNYWRw,,,,,29,,,,,design_by_rose,"May 12, 2022"
Disco Elysium,No panic at this disco | Disco Elysium,https://clips.twitch.tv/DaintyTardyBibimbapNinjaGrumpy-8F4ImetPgDo-lagX,,,,,30,,,,,design_by_rose,"May 12, 2022"
Disco Elysium,mmm tasty,https://clips.twitch.tv/TalentedPeacefulGorillaFutureMan-6a8HcXLxeudqolZ2,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,:P,https://clips.twitch.tv/FineTentativeLocustUWot-uJLa21eNuzkKQMfm,,,,,56,,,,,low_hanging_vegetable,"May 15, 2022"
Disco Elysium,mmmmmmmmm tasty,https://clips.twitch.tv/MoistBenevolentLEDDatBoi-Po04rmWJlkMjPnkL,,,,,7,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,the incident,https://clips.twitch.tv/CuriousAstuteDinosaurFloof-TGFJw0UOHoctPKsd,,,,,60,,,,,low_hanging_vegetable,"May 15, 2022"
Disco Elysium,mmmmmmmmmmmmmmmmmmm tasty,https://clips.twitch.tv/JoyousBusyBean4Head-uEpLmjBFTMpWyVe-,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,untitled disaster #093576,https://clips.twitch.tv/DeliciousResilientGrousePMSTwin-rQCfqgdJrKLaQZnD,,,,,24,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmmm tasty,https://clips.twitch.tv/ObservantAlertAntelopeOMGScoots-hnByFJYKij-12QU4,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmm tasty,https://clips.twitch.tv/BrightAverageCarrotDogFace-TsXMGI1DEkSP4Pwc,,,,,8,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmmmmm tasty,https://clips.twitch.tv/KathishInquisitiveDoveTinyFace-ESdZgbfjsi2jWSJV,,,,,6,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmm tasty,https://clips.twitch.tv/ShakingCaringCobblerTTours-O-C4QbbDFLpXmqNo,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,~ oh my gaaaWwWddd... a booty ~,https://clips.twitch.tv/BlueShortOxPraiseIt-EwR1nYOwn2n0ycl_,,,,,4,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmmmm tasty,https://clips.twitch.tv/ImportantTrustworthyPlumDendiFace-RC5ab3WZhavBXOyt,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmmmmmmm tasty,https://clips.twitch.tv/LivelyOriginalStapleFutureMan-TKwkLMB70wGvLjt5,,,,,7,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,o.o,https://clips.twitch.tv/AttractiveCourageousCroquetteStrawBeary-kZDRaIpZ_ykusxqR,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,I mean I'd like to see it,https://clips.twitch.tv/SullenLivelyHerdCoolCat-lxqTlhogmMIogiLq,,,,,9,,,,,low_hanging_vegetable,"May 15, 2022"
Disco Elysium,Ever so slightly bizarre game | !Kings | Disco Elysium,https://clips.twitch.tv/EnergeticZanyLegFreakinStinkin-41apUsNCxZIKmeME,,,,,28,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmmmmmmmmmmmmmmm tasty,https://clips.twitch.tv/LazyGiftedMonitorRuleFive-EDm9qf_4IsACyWhc,,,,,5,,,,,design_by_rose,"May 15, 2022"
Disco Elysium,mmmmmmmmmmm tasty,https://clips.twitch.tv/BetterFurryHyenaChocolateRain-uz3x94MCI9zyy8hY,,,,,6,,,,,design_by_rose,"May 15, 2022"
